Rk_x,Player,Age,Team,Pos,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Rk_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
205.0,Miles Plumlee,25.0,PHO,C,80.0,79.0,24.6,3.6,6.9,0.517,0.0,0.0,,3.6,6.9,0.517,0.517,0.9,1.7,0.561,2.5,5.4,7.8,0.5,0.6,1.1,1.4,2.3,8.1,,130.0,80.0,79.0,1964.0,14.6,0.529,0.0,0.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,1.2,2.8,4.0,0.098,-1.4,0.1,-1.3,0.3,2013-14
206.0,Derrick Williams,22.0,2TM,PF,78.0,15.0,23.3,2.6,6.2,0.427,0.3,1.3,0.263,2.3,4.9,0.47,0.454,2.4,3.3,0.718,0.9,3.2,4.1,0.7,0.6,0.3,1.0,1.5,8.0,,148.0,78.0,15.0,1820.0,11.5,0.524,0.205,0.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,1.3,1.3,2.6,0.068,-1.6,-0.5,-2.1,0.0,2013-14
206.0,Derrick Williams,22.0,MIN,PF,11.0,0.0,14.7,1.7,4.9,0.352,0.2,1.4,0.133,1.5,3.5,0.436,0.37,1.3,1.5,0.875,0.3,2.1,2.4,0.1,0.4,0.4,0.5,0.8,4.9,,148.0,11.0,0.0,162.0,7.6,0.442,0.278,0.296,2.0,15.9,8.7,0.9,1.2,1.9,8.9,17.6,-0.1,0.2,0.0,0.008,-4.0,-0.2,-4.2,-0.1,2013-14
206.0,Derrick Williams,22.0,SAC,SF,67.0,15.0,24.7,2.8,6.4,0.437,0.4,1.3,0.286,2.4,5.1,0.474,0.465,2.6,3.6,0.708,1.0,3.4,4.4,0.8,0.7,0.2,1.0,1.6,8.5,,148.0,67.0,15.0,1658.0,11.9,0.533,0.196,0.568,4.6,15.8,10.1,5.1,1.4,0.8,11.6,16.1,1.4,1.1,2.5,0.073,-1.3,-0.5,-1.9,0.1,2013-14
207.0,Ryan Kelly,22.0,LAL,PF,59.0,25.0,22.2,2.7,6.3,0.423,0.8,2.4,0.338,1.8,3.9,0.476,0.488,1.9,2.3,0.815,0.7,3.0,3.7,1.6,0.5,0.8,0.8,2.5,8.0,,217.0,59.0,25.0,1312.0,12.6,0.548,0.383,0.364,3.4,14.4,8.9,10.7,1.2,2.5,9.8,15.9,1.5,0.7,2.2,0.081,-1.4,-0.1,-1.5,0.2,2013-14
208.0,Kendall Marshall,22.0,LAL,PG,54.0,45.0,29.0,3.1,7.8,0.406,1.3,3.3,0.399,1.8,4.5,0.411,0.49,0.4,0.7,0.528,0.3,2.6,2.9,8.8,0.9,0.1,2.8,1.4,8.0,,179.0,54.0,45.0,1564.0,12.6,0.494,0.425,0.086,1.0,9.6,5.3,44.3,1.5,0.2,25.6,16.3,0.6,0.3,0.9,0.029,0.0,-2.4,-2.4,-0.2,2013-14
209.0,Jeff Taylor,24.0,CHA,SF,26.0,8.0,24.2,3.2,8.4,0.376,0.7,2.6,0.269,2.5,5.8,0.424,0.417,1.0,1.8,0.553,0.6,1.7,2.3,0.8,0.5,0.2,1.0,2.4,8.0,,323.0,26.0,8.0,629.0,5.9,0.436,0.307,0.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,-0.8,0.6,-0.2,-0.019,-5.0,-0.4,-5.4,-0.5,2013-14
210.0,Michael Beasley,25.0,MIA,SF,55.0,2.0,15.1,3.2,6.5,0.499,0.4,1.0,0.389,2.8,5.5,0.518,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1.0,1.7,7.9,,292.0,55.0,2.0,831.0,16.8,0.559,0.152,0.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,0.5,1.1,1.6,0.092,-1.1,-0.9,-2.0,0.0,2013-14
211.0,Devin Harris,30.0,DAL,PG,40.0,0.0,20.5,2.4,6.4,0.378,0.8,2.5,0.307,1.6,3.8,0.425,0.439,2.3,2.9,0.8,0.2,1.9,2.1,4.5,0.7,0.1,1.5,1.8,7.9,,295.0,40.0,0.0,818.0,14.6,0.517,0.398,0.453,1.1,10.8,6.0,31.0,1.8,0.2,16.2,20.2,1.2,0.4,1.6,0.094,0.3,-0.8,-0.5,0.3,2013-14
212.0,Jermaine O'Neal,35.0,GSW,PF,44.0,13.0,20.1,2.8,5.6,0.504,0.0,0.0,,2.8,5.6,0.504,0.504,2.3,3.0,0.75,1.9,3.6,5.5,0.6,0.3,0.9,1.2,2.3,7.9,,283.0,44.0,13.0,883.0,15.3,0.57,0.0,0.532,10.7,19.1,15.0,4.2,0.8,3.4,14.5,17.8,1.3,1.4,2.7,0.146,-1.6,0.2,-1.4,0.1,2013-14
