Rk_x,Player,Age,Team,Pos,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Experience,NumOfAwards,All-Star,AwardWinner,FirstTeam,SecondTeam,ThridTeam,DefTeam1,DefTeam2,Salary,Guaranteed,2023-24_contract_year
473.0,Alex Len,30.0,SAC,C,48.0,0.0,9.3,1.0,1.7,0.617,0.0,0.1,0.0,1.0,1.6,0.641,0.617,0.4,0.7,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5,,14.7,0.625,0.037,0.42,11.3,21.2,16.1,14.4,1.2,6.8,22.0,11.8,0.6,0.7,1.3,0.138,-2.7,2.9,0.2,0.2,2024,11,0,0,0,0,0,0,0,0,2019706,2019706,1
193.0,Amen Thompson,21.0,HOU,SF,62.0,23.0,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3,2024,1,0,0,0,0,0,0,0,0,8809320,18059280,0
277.0,Amir Coffey,26.0,LAC,SF,70.0,13.0,20.9,2.4,5.0,0.472,1.0,2.6,0.38,1.4,2.4,0.571,0.571,0.9,1.0,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6,,10.0,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1.0,2.6,0.084,-1.9,-0.3,-2.2,-0.1,2024,5,0,0,0,0,0,0,0,0,3666667,7604938,0
217.0,Andre Drummond,30.0,CHI,C,79.0,10.0,17.1,3.4,6.1,0.556,0.0,0.0,0.0,3.4,6.0,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9.0,0.5,0.9,0.6,1.0,1.8,8.4,,23.0,0.576,0.006,0.454,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,2.3,2.6,4.9,0.175,0.8,-0.7,0.1,0.7,2024,12,0,0,0,0,0,0,0,0,3360000,3360000,1
492.0,Andre Jackson Jr.,22.0,MIL,SG,57.0,8.0,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10.0,0.5,0.5,1.0,0.081,-3.6,0.0,-3.6,-0.2,2024,1,0,0,0,0,0,0,0,0,1119563,1119563,0
199.0,Andrew Nembhard,24.0,IND,PG,68.0,47.0,25.0,3.8,7.7,0.498,0.9,2.5,0.357,2.9,5.2,0.567,0.557,0.7,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2,,11.3,0.573,0.328,0.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,1.3,0.7,2.0,0.057,-1.6,-0.5,-2.2,-0.1,2024,2,0,0,0,0,0,0,0,0,2131905,4151604,0
121.0,Andrew Wiggins,28.0,GSW,SF,71.0,59.0,27.0,5.0,11.0,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2.0,2.7,0.751,1.5,3.0,4.5,1.7,0.6,0.6,1.2,2.1,13.2,,12.7,0.544,0.326,0.242,6.2,11.8,9.0,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3,2024,10,0,0,0,0,0,0,0,0,24330357,78830358,0
32.0,Anfernee Simons,24.0,POR,SG,46.0,46.0,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28.0,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8,2024,6,0,0,0,0,0,0,0,0,24107143,77678571,0
358.0,Anthony Black,20.0,ORL,PG,69.0,33.0,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,,8.4,0.56,0.381,0.324,3.3,10.8,7.0,10.6,1.5,1.7,16.6,12.7,0.1,1.5,1.6,0.067,-3.8,0.8,-3.0,-0.3,2024,1,0,0,0,0,0,0,0,0,7245480,14853240,0
19.0,Anthony Davis,30.0,LAL,C,76.0,76.0,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,"DPOY-4,AS,NBA2,DEF1",25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,2024,12,4,1,0,0,1,0,1,0,40600080,279862899,0
13.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,"MVP-7,CPOY-8,AS,NBA2",19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,2024,4,4,1,0,0,1,0,0,0,13534817,258874817,0
411.0,Anthony Gill,31.0,WAS,PF,50.0,3.0,9.3,1.5,3.2,0.469,0.2,0.8,0.244,1.3,2.4,0.546,0.5,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1.0,3.8,,12.1,0.537,0.256,0.225,8.3,13.4,10.8,10.0,1.3,1.9,11.6,18.0,0.1,0.2,0.4,0.038,-2.6,-1.5,-4.1,-0.3,2024,4,0,0,0,0,0,0,0,0,1997238,1997238,1
389.0,Ashton Hagans,24.0,POR,PG,19.0,1.0,16.6,1.5,3.7,0.408,0.4,1.3,0.32,1.1,2.4,0.457,0.465,0.7,0.9,0.824,0.7,1.6,2.4,2.8,0.6,0.5,1.6,2.1,4.2,,8.5,0.51,0.352,0.239,4.7,11.7,8.0,23.7,1.7,2.6,27.7,14.6,-0.2,0.3,0.0,0.006,-4.4,0.9,-3.5,-0.1,2024,4,0,0,0,0,0,0,0,0,103550,103550,1
209.0,Ausar Thompson,21.0,DET,SF,63.0,38.0,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2.0,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8,,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,2024,1,0,0,0,0,0,0,0,0,7977480,16353480,0
83.0,Austin Reaves,25.0,LAL,SG,82.0,57.0,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.853,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9,,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,2024,3,0,0,0,0,0,0,0,0,12015150,38929086,0
134.0,Ayo Dosunmu,24.0,CHI,SG,76.0,37.0,29.1,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2,,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,2.6,1.5,4.1,0.089,-0.6,-0.2,-0.8,0.7,2024,3,0,0,0,0,0,0,0,0,6481482,21000000,0
59.0,Bam Adebayo,26.0,MIA,C,71.0,71.0,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,"DPOY-3,AS,DEF1",19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,2024,7,3,1,0,0,0,0,1,0,32600060,104545020,0
377.0,Ben Sheppard,22.0,IND,SG,57.0,1.0,14.3,1.6,4.0,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.3,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3,2024,1,0,0,0,0,0,0,0,0,2537160,5201040,0
299.0,Ben Simmons,27.0,BRK,PG,15.0,12.0,23.9,2.9,4.9,0.581,0.0,0.0,,2.9,4.9,0.581,0.581,0.4,1.0,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,,16.3,0.571,0.0,0.203,9.2,27.6,18.1,33.2,1.7,2.3,25.1,13.0,0.5,0.5,1.0,0.133,-0.5,2.9,2.4,0.4,2024,7,0,0,0,0,0,0,0,0,37893408,78231552,0
102.0,Bennedict Mathurin,21.0,IND,SF,59.0,19.0,26.1,5.0,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,0.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,,13.0,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,2024,2,0,0,0,0,0,0,0,0,6916080,14161800,0
216.0,Bilal Coulibaly,19.0,WAS,SF,63.0,15.0,27.2,3.0,6.9,0.435,1.0,2.9,0.346,2.0,3.9,0.502,0.509,1.5,2.1,0.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,,8.9,0.543,0.428,0.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,2024,1,0,0,0,0,0,0,0,0,6614280,13559520,0
367.0,Bismack Biyombo,31.0,OKC,C,40.0,27.0,19.8,1.9,3.3,0.565,0.0,0.0,,1.9,3.3,0.565,0.565,0.7,1.4,0.481,1.6,3.7,5.2,1.3,0.3,0.9,1.1,2.2,4.4,,9.9,0.562,0.0,0.412,8.3,21.1,14.5,9.5,0.7,4.4,21.3,10.7,0.1,1.0,1.1,0.066,-4.8,1.4,-3.4,-0.3,2024,13,0,0,0,0,0,0,0,0,5754488,5000000,1
367.0,Bismack Biyombo,31.0,OKC,C,40.0,27.0,19.8,1.9,3.3,0.565,0.0,0.0,,1.9,3.3,0.565,0.565,0.7,1.4,0.481,1.6,3.7,5.2,1.3,0.3,0.9,1.1,2.2,4.4,,9.9,0.562,0.0,0.412,8.3,21.1,14.5,9.5,0.7,4.4,21.3,10.7,0.1,1.0,1.1,0.066,-4.8,1.4,-3.4,-0.3,2024,13,0,0,0,0,0,0,0,0,5754488,754488,1
378.0,Blake Wesley,20.0,SAS,SG,61.0,3.0,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4,,10.1,0.537,0.256,0.363,2.2,9.5,5.8,25.3,1.6,0.9,18.1,14.7,0.3,0.6,0.9,0.05,-4.0,0.1,-4.0,-0.4,2024,2,0,0,0,0,0,0,0,0,2504640,5128920,0
444.0,Boban Marjanović,35.0,HOU,C,14.0,0.0,5.1,1.3,2.4,0.529,0.0,0.1,0.0,1.3,2.3,0.563,0.529,0.6,1.0,0.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,0.4,3.2,,21.1,0.56,0.059,0.412,10.5,38.2,24.2,13.9,0.7,2.6,11.1,27.0,0.1,0.1,0.2,0.128,0.2,-0.5,-0.3,0.0,2024,9,0,0,0,0,0,0,0,0,2019706,0,1
112.0,Bobby Portis,28.0,MIL,PF,82.0,4.0,24.5,5.7,11.2,0.508,1.2,3.0,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,6MOY-3,17.5,0.581,0.268,0.135,7.9,24.8,16.6,7.8,1.6,1.4,8.6,22.9,2.1,2.6,4.7,0.112,0.0,-0.8,-0.8,0.6,2024,9,1,0,0,0,0,0,0,0,11710818,24289104,0
75.0,Bogdan Bogdanović,31.0,ATL,SG,79.0,33.0,30.4,6.0,13.9,0.428,3.0,8.1,0.374,2.9,5.8,0.503,0.537,1.9,2.1,0.921,0.7,2.8,3.4,3.1,1.2,0.3,1.4,2.3,16.9,6MOY-5,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4,2024,7,1,0,0,0,0,0,0,0,18700000,51980000,0
93.0,Bojan Bogdanović,34.0,NYK,PF,57.0,27.0,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,0.551,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,15.2,6MOY-9,12.6,0.581,0.49,0.219,1.6,10.0,5.7,10.3,1.0,0.3,11.9,24.6,0.3,0.7,1.1,0.034,-0.7,-2.5,-3.2,-0.4,2024,10,1,0,0,0,0,0,0,0,20000000,20000000,0
335.0,Bol Bol,24.0,PHO,PF,43.0,0.0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1.0,5.2,,18.7,0.7,0.344,0.126,8.1,24.1,16.5,5.3,1.0,4.7,10.7,16.5,1.0,0.7,1.6,0.168,1.4,0.8,2.1,0.5,2024,5,0,0,0,0,0,0,0,0,2019706,2019706,1
262.0,Bones Hyland,23.0,LAC,PG,37.0,5.0,14.6,2.6,6.8,0.386,1.2,3.6,0.326,1.4,3.1,0.457,0.474,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9,,10.8,0.49,0.538,0.092,1.1,10.1,5.7,24.5,2.4,0.7,14.4,24.8,-0.5,0.5,0.0,0.003,-2.8,-0.8,-3.6,-0.2,2024,3,0,0,0,0,0,0,0,0,2306400,6464839,0
63.0,Bradley Beal,30.0,PHO,SG,53.0,53.0,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1.0,3.4,4.4,5.0,1.0,0.5,2.5,2.4,18.2,,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,0.107,0.9,-0.6,0.4,1.1,2024,12,0,0,0,0,0,0,0,0,46741590,150611790,0
201.0,Brandin Podziemski,20.0,GSW,SG,74.0,28.0,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,ROY-5,13.0,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2.0,4.1,0.1,-0.5,0.4,-0.1,0.9,2024,1,1,0,0,0,0,0,0,0,3352440,6872400,0
336.0,Brandon Boston Jr.,22.0,LAC,SF,32.0,0.0,10.8,2.0,5.0,0.404,0.4,1.6,0.269,1.6,3.4,0.468,0.447,0.7,1.0,0.697,0.6,1.0,1.6,0.4,0.3,0.3,0.8,1.3,5.2,,8.7,0.476,0.323,0.205,6.4,10.4,8.5,5.4,1.6,2.1,12.0,25.4,-0.6,0.3,-0.3,-0.04,-6.2,-2.7,-9.0,-0.6,2024,3,0,0,0,0,0,0,0,0,1836096,1836096,1
150.0,Brandon Clarke,27.0,MEM,PF,6.0,1.0,22.3,5.5,9.8,0.559,0.2,1.0,0.167,5.3,8.8,0.604,0.568,0.2,1.2,0.143,2.2,3.2,5.3,1.5,0.8,1.0,0.5,1.3,11.3,,18.9,0.548,0.102,0.119,10.2,16.2,13.1,12.2,1.8,4.2,4.6,20.8,0.1,0.2,0.3,0.108,0.7,0.3,1.0,0.1,2024,5,0,0,0,0,0,0,0,0,12500000,50000000,0
46.0,Brandon Ingram,26.0,NOP,SF,64.0,64.0,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,,18.2,0.578,0.238,0.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,2.7,2.4,5.1,0.117,1.4,-0.3,1.2,1.7,2024,8,0,0,0,0,0,0,0,0,33833400,69849600,0
70.0,Brandon Miller,21.0,CHO,SF,74.0,68.0,32.2,6.4,14.6,0.44,2.5,6.7,0.373,3.9,8.0,0.495,0.524,1.9,2.3,0.827,0.8,3.4,4.3,2.4,0.9,0.6,1.8,2.5,17.3,ROY-3,13.0,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3,2024,1,1,0,0,0,0,0,0,0,10880400,22305000,0
241.0,Brice Sensabaugh,20.0,UTA,SF,32.0,11.0,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5,,8.6,0.511,0.528,0.188,3.0,16.1,9.6,13.0,1.1,0.9,16.6,20.3,-0.5,0.2,-0.3,-0.024,-3.3,-2.1,-5.5,-0.5,2024,1,0,0,0,0,0,0,0,0,2448600,5020080,0
130.0,Brook Lopez,35.0,MIL,C,79.0,79.0,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,,14.8,0.608,0.535,0.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,3.1,2.8,5.9,0.117,0.2,0.8,1.0,1.8,2024,16,0,0,0,0,0,0,0,0,25000000,48000000,0
